RANK,MARK,ATHLETE/TEAM,GRADE,MEET DATEPLACE
243,146-10,ALEX HEISERLoyalsock Township,2020,"22nd Annual LHU High School Classic8thApr 27, 2019"
246,146-9,SCOTT LAWHEADAltoona Area,2021,"PIAA District 6 AAA Championships3rdMay 16, 2019"
247,146-7,TYLER OVERHOLTZDunmore,2019,"PIAA District 2 AA Championship7thMay 15, 2019"
248,146-6,ZACHARY GULANorthampton Area,2020,"EPC/Colonial Conference Championships13thMay 7, 2019 - May 8, 2019"
249,146-5,COURAGE MOOREMilts 4 Life Track Club,2020,"AAU Region-02 National Qualifier2ndJun 28, 2019 - Jun 30, 2019"
249,146-5,DAVID STAMMMoniteau,2021,"Oil Country Invitational3rd PMay 4, 2019"
251,146-4,RYAN KEMPHamburg Area,2019,"2019 BCIAA Firing Championship6thMay 9, 2019 - May 11, 2019"
252,146-3,ETHAN MYLINManheim Township,2021,"Blue Streak Relays6thMay 4, 2019"
253,146-2,DANIEL TOBIASAnnville-Cleona,2020,"PIAA District 3 AA Championships5thMay 17, 2019 - May 18, 2019"
253,146-2,EVAN HEILMANAnnville-Cleona,2020,"PIAA District 3 AA Championships6thMay 17, 2019 - May 18, 2019"
253,146-2,LUKE FABERReynolds,2021,"Mercer County Track and Field Invitational10thMay 9, 2019"
256,145-11,LOGAN RENNINGERMifflin County High School,2020,"Mifflin County vs Cumberland Valley1stApr 2, 2019"
256,145-11,BRADLEY STOLTZFUSConestoga Valley,2020,"Lebanon-Lancaster League Championship11thMay 10, 2019 - May 11, 2019"
256,145-11,TYLER DOMBROWSKIFather Judge,2020,"PIAA T&F State Championships25thMay 24, 2019 - May 25, 2019"
259,145-9,MATT KNOWLESShamokin Area,2019,"Jim Taylor High School Classic (formerly Susq.HS Classic)6thApr 13, 2019"
260,145-8,ERIC MARNMcDowell,2019,"McDowell Vs Conneaut 20191stApr 30, 2019"
260,145-8,RYAN VANVARICKStroudsburg,2019,"ES South @ Stroudsburg2ndApr 4, 2019"
260,145-8,ANTHONY KOPERWilson (3),2020,"2019 BCIAA Firing Championship7thMay 9, 2019 - May 11, 2019"
263,145-7,TYLER METZGERConnellsville,2019,"Norwin Last Chance Meet2ndMay 7, 2019"
263,145-7,VINCENT ROHLANDCumberland Valley,2019,"Mid Penn Championship11thMay 11, 2019"
265,145-5,AUSTIN RUPPRedbank Valley,2020,"Redbank Invitational5thMay 9, 2019"
266,145-3,HUNTER BROWNWellsboro Area,2019,"Troy, NEB, and Wellsboro @ Athens1stApr 9, 2019"
266,145-3,BRANDON FITZPATRICKCambria Heights,2021,"Bellwood-Antis Invitational2ndApr 29, 2019"
266,145-3,CHRISTIAN ANDREWSCarlynton,2021,"Butler Invitational - 55th Annual10thApr 18, 2019"
269,145-2,DEVYN SOLOMONSpring Ford,2020,"Pioneer Athletic Conference Championship6thMay 10, 2019 - May 11, 2019"
270,144-11,COOPER OTTOHollidaysburg Area,2020,"PIAA District 6 AAA Championships4thMay 16, 2019"
271,144-10,LANDON KRETZERButler,2021,"Northern Area Last Chance2ndMay 7, 2019"
271,144-10,CARSON BERKHIMERForest Hills,2021,"United Invitational6thApr 6, 2019"
273,144-9,JOHN FINNELLDelaware County Christian School,2020,"16th Annual Unionville Invitational3rdApr 27, 2019"
273,144-9,JASON BROSKEYCentral Bucks South,2020,"SOL Continental Conference Championships4thMay 10, 2019 - May 11, 2019"
275,144-8,WILLIAM MCGINLEYBloomsburg,2020,"PIAA District 4 AA-AAA Championship8thMay 16, 2019 - May 18, 2019"
276,144-7,JOSHUA RODRIGUEZMidd-West High School,2020,"Jim Taylor High School Classic (formerly Susq.HS Classic)7thApr 13, 2019"
276,144-7,ASHER ELLISAthens Area,2021,"PIAA District 4 AA-AAA Championship9thMay 16, 2019 - May 18, 2019"
278,144-5,TY REGANNorthern,2020,"Northern Small School Invitational2ndMar 28, 2019"
278,144-5,CONNOR BURKEYGreater Latrobe,2021,"Northern Area Last Chance3rdMay 7, 2019"
280,144-4,MARCIANO MCCOWANSeneca Valley,2021,"Northern Area Last Chance4thMay 7, 2019"
280,144-4,NOAH WEBBEREHempfield (3),2019,"Blue Streak Relays9thMay 4, 2019"
282,144-3,ADAM BERADELLIMid Valley Sr. High School,2019,"Wallenpaupack Ice Breaker Relays4thApr 13, 2019"
283,144-2,MATT SCHUSTERWest Mifflin,2019,"Big South Championship3rdApr 24, 2019"
283,144-2,ANDREW GONZALESLower Moreland,2019,"Bicentennial Athletic League Championships3rdMay 8, 2019 - May 9, 2019"
283,144-2,KAYDEN RILEYDanville Area,2021,"Central Mountain vs Danville Area4thMay 7, 2019"
283,144-2,TYLER RIOSSomerset Area,2019,"PIAA District 6 AAA Championships5thMay 16, 2019"
283,144-2,LOGAN MCWILLIAMSCentral Columbia,2021,"Jim Taylor High School Classic (formerly Susq.HS Classic)8thApr 13, 2019"
288,144-0,BRIAN BERTSCHEmmaus,2020,"Emmaus @ Parkland1stApr 29, 2019"
288,144-0,TYLER SPRANKLEHomer Center,2019,"Heritage Conference Championships4thMay 7, 2019"
288,144-0,MIKE REILLEYNorth Schuylkill,2021,"Schuylkill League Track and Field Championships8thMay 7, 2019 - May 8, 2019"
291,143-11,BEN PAPABoiling Springs,2019,"31st Annual Stan Morgan Invitational at Carlisle6thMay 4, 2019"
292,143-10,DYLAN LONGCentral Cambria HS,2020,"PIAA District 6 AA Championships12thMay 15, 2019"
293,143-7,JOSH ROGERSHollidaysburg Area,2019,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA5thMay 3, 2019"
293,143-7,CHRISTIAN REYESChurch Farm School,2020,"PIAA District 1 AA Championships6thMay 17, 2019 - May 18, 2019"
295,143-6,MATT MARCELLINOWissahickon,2020,"SOL American Conference Championships2ndMay 10, 2019 - May 11, 2019"
295,143-6,HUNTER BLEAMSalisbury Township,2022,"PIAA District XI AA Championship6thMay 15, 2019 - May 16, 2019"
297,143-5,CHRIS GOGGINBoyertown,2020,"90th Annual John H. Shaner Memorial Track Meet4thMay 3, 2019 - May 4, 2019"
297,143-5,ZACH BANTAPenn Manor,2019,"17th Annual Black Knight Invitational8thApr 13, 2019"
299,143-4,NATE WILLIAMSONLaSalle College High School,2019,"Philadelphia Catholic League Outdoor Championships3rdMay 11, 2019"
300,143-3,TIM CHRISTYGrove City Area,2019,"Oil Country Invitational6thMay 4, 2019"
301,143-2,DANIEL PRICEFather Judge,2020,"Philadelphia Catholic League Outdoor Championships4thMay 11, 2019"
301,143-2,ZACHARY EVANSHanover Area,2020,"James Cross Wilkes-Barre Invite5thMay 4, 2019"
303,143-1,KYLE SWARTZNorthern,2020,"Arctic Blast Invitational3rdApr 13, 2019"
304,143-0,BEN SCHATZLehighton,2020,"ASD Invitational11thApr 18, 2019"
305,142-11,SKYLAR COLLINSHickory,2020,"Harbor Creek Track & Field Invitational2nd PApr 13, 2019"
305,142-11,JOSH CERVINew Brighton,2019,"Beaver County Championships2ndApr 25, 2019 - Apr 28, 2019"
307,142-9,JACK STOCKRiverview,2019,"Pine-Richland Invitational9thMay 3, 2019"
307,142-9,EVAN ZAMBONorthern Lehigh,2021,"EPC/Colonial Conference Championships9thMay 7, 2019 - May 8, 2019"
309,142-8,NATHAN BERGERMillersburg,2020,"Tri-Valley League Championships4thMay 8, 2019"
309,142-8,LELAND MERSKYLaSalle College High School,2019,"Philadelphia Catholic League Outdoor Championships5thMay 11, 2019"
309,142-8,AIDAN MOREAUSaint Joseph's Prep,2021,"Philadelphia Catholic League Outdoor Championships6thMay 11, 2019"
312,142-5,JD RUBINCouncil Rock South,2019,"Neshaminy Invitational3rdMay 4, 2019"
312,142-5,ZACH HAEFNERLoyalsock Township,2019,"PIAA District 4 AA-AAA Championship12thMay 16, 2019 - May 18, 2019"
314,142-4,JOSH SUTOPalmerton Area,2022,"Catasauqua @ Palisades2ndApr 16, 2019"
315,142-3,TYLER SCOTTISolebury School,2021,"PA Independent School Athletic Association (PAISAA) Championship2ndMay 18, 2019"
316,142-2,CHRISTIAN WALDSHMIDTHampton,2020,"Northern Area Last Chance5thMay 7, 2019"
316,142-2,ALEX MEALSOil City,2019,"Rock Relays9thApr 20, 2019"
318,142-1,ETHAN STROUPAltoona Area,2022,"Penn Hills @ Altoona2ndApr 23, 2019"
318,142-1,JONATHAN OISTERPottstown,2020,"Lower Merion Invitational5thMay 4, 2019"
318,142-1,CONNER MCGUIRESusquenita,2019,"PIAA District 3 AA Championships7thMay 17, 2019 - May 18, 2019"
318,142-1,GARRETT BOYLEMinersville Area,2019,"11th Olympian Invite8thMay 3, 2019"
322,142-0,SEBASTIAN COSTANTINIMalvern Prep,2019,"Whippet Invitational2ndApr 6, 2019"
322,142-0,NICK MARTINOMoniteau,2020,"PIAA District 9 AAA and AA Championship9thMay 17, 2019"
322,142-0,BRADLEY ATKINSONHempfield (3),2019,"Lebanon-Lancaster League Championship12thMay 10, 2019 - May 11, 2019"
325,141-11,NATHAN ZIEGLERGeneral McLane,2019,"McDowell vs General McLane1stApr 10, 2019 - Apr 9, 2019"
325,141-11,CURT MAUGEROley Valley,2019,"2019 BCIAA Firing Championship9thMay 9, 2019 - May 11, 2019"
327,141-10,NOAH BERGERBangor Area,2019,"Saucon Valley, NW Lehigh @ Bangor3rdApr 23, 2019"
327,141-10,JOSEPH NOORCHASHMSaint Joseph's Prep,2020,"PIAA District 12 AAA Championships3rdMay 15, 2019 - May 16, 2019"
329,141-9,JARRED ROLLENew Oxford,2020,"YAIAA Track and Field League Championships5thMay 10, 2019"
330,141-8,PARKER ZIMEROFSKYPottsville Area,2019,"Lehighton @ Pottsville1stApr 1, 2019"
331,141-7,GABE HULSLANDERKennard-Dale,2021,"Blue Jay High School Invitational5thApr 20, 2019"
331,141-7,DEREK ATHERTON-ELYCanton Area,2021,"PIAA District 4 AA-AAA Championship13thMay 16, 2019 - May 18, 2019"
333,141-6,DOMINIC TORNATOREBellwood Antis,2019,"Bellwood-Antis Invitational4thApr 29, 2019"
333,141-6,JEREMIAH RENNOMount Carmel Area,2020,"PIAA District 4 AA-AAA Championship14thMay 16, 2019 - May 18, 2019"
335,141-5,DEVIN DEIHLJuniata Valley,2019,"PIAA District 6 AA Championships15thMay 15, 2019"
336,141-4,BRAD ORAVITZNorwin,2020,"Butler Invitational - 55th Annual14thApr 18, 2019"
337,141-1,LIAM DEANGELISAltoona Area,2020,"Hollidaysburg @ Altoona2ndMay 7, 2019"
337,141-1,KALEB MILBURNChestnut Ridge,2019,"Bedford Giant Eagle Invitational4thApr 6, 2019"
337,141-1,AIDAN REDDINGSaucon Valley,2019,"EPC/Colonial Conference Championships10thMay 7, 2019 - May 8, 2019"
340,140-11,KYERE MORTONChambersburg,2020,"Mid Penn Championship13thMay 11, 2019"
340,140-11,KEVIN ORANGECentral Cambria HS,2021,"Altoona Mt. Lion Track & Field Classic (Small Schools) AA14thMay 3, 2019"
342,140-10,BEN TURIFort Leboeuf,2020,"D10R5 Fort LeBoeuf @ Girard1stApr 9, 2019"
343,140-9,CONNOR RAYNERAvon Grove,2020,"West Chester East vs. Avon Grove2ndApr 29, 2019"
343,140-9,JAKE HOGGYoungsville,2021,"34th McDowell Invitational3rdApr 27, 2019"
345,140-8,BLAKE KANEShamokin Area,2020,"Shamokin at Milton1stApr 11, 2019"
345,140-8,JACK WALLERCarlisle,2020,"18th Bruce Dallas Invitational3rdApr 6, 2019"
345,140-8,AARON KRUGNorthern Cambria High School,2020,"Bellwood-Antis Invitational5thApr 29, 2019"
345,140-8,REED CHRISTINERed Lion,2021,"YAIAA Track and Field League Championships7thMay 10, 2019"
349,140-6,JEREME THOMPSONState College Area High School,2019,"State College @ Carlisle1stApr 16, 2019"
350,140-5,TRAVIS BUTCHMohawk,2019,"MAC Meet5thApr 24, 2019"
350,140-5,MASON MONTAGButler,2020,"PIAA District 7 (WPIAL) AAA Championships15thMay 16, 2019"
352,140-4,NATHAN CUMERJefferson-Morgan,2019,"WCHS vs WG, Brownsville Tri-Meet 4-11-192ndApr 11, 2019"
352,140-4,SAM NAKAYAMASouth Park High School,2021,"P3R South Fayette Invitational4thApr 27, 2019"
352,140-4,JARED OZIASConnellsville,2019,"Lady Spartan/Wildcat Invitational10th PApr 13, 2019"
352,140-4,MORGAN WHITINGWilmington,2021,"Mercer County Track and Field Invitational13thMay 9, 2019"
356,140-1,JOSH REAPhilipsburg-Osceola Area,2020,"Mountain League Championships2ndMay 7, 2019"
357,140-0,MATTHEW KORDICHFrazier,2021,"WPIAL Section 8 Championship3rdApr 23, 2019"
357,140-0,ANDREW LICHTINGERFort Leboeuf,2020,"34th McDowell Invitational4thApr 27, 2019"
359,139-11,SPENCER WHITCOMBCumberland Valley,2020,"Central Dauphin vs Cumberland Valley2ndMay 7, 2019"
360,139-10.25,HUNTER RODARMELUnattached - PA,,"AAU Junior Olympic Games20thJul 27, 2019 - Aug 3, 2019"
361,139-9,JOSH WIMERKarns City,2019,"Redbank Valley vs. Karns City1stMay 2, 2019"
362,139-8,LUKE STOUTWest Chester Rustin,2020,"Ches-Mont Championship5thMay 8, 2019"
362,139-8,DEVON CURYKWest Scranton,2019,"PIAA District 2 AAA Championship16thMay 16, 2019"
364,139-7,THOMAS DICKINSONScranton Preparatory School,2021,"James Cross Wilkes-Barre Invite7thMay 4, 2019"
365,139-6,JACOB HEFFNERWhitehall,2019,"Pirate Invitational 2019 (PPD from 3/23)1stApr 18, 2019"
365,139-6,XAVIER MAYOThe Hill School,2019,"PA Independent School Athletic Association (PAISAA) Championship3rdMay 18, 2019"
365,139-6,CORTLAND HILLCathedral Prep,2021,"Harbor Creek Track & Field Invitational4thApr 13, 2019"
368,139-4,JOSH GALBREATHWaynesburg Central,2019,"WCHS vs B-C Dual Meet3rdApr 9, 2019"
368,139-4,DAVID MOYERCentral Bucks East,2019,"Helman Memorial Invitational4thMay 2, 2019"
368,139-4,NICHOLAS EVANSHoly Ghost Preparatory School,2019,"Bicentennial Athletic League Championships6thMay 8, 2019 - May 9, 2019"
368,139-4,KEVIN LUSKCedar Cliff,2020,"Tim Cook Memorial Invitational9thMar 30, 2019"
372,139-3,SCOTT GARLOCKSouthern Huntingdon,2020,"Bedford Giant Eagle Invitational5thApr 6, 2019"
373,139-2,NATHAN SEIBERGreenwood,2019,"4th Annual Don Wilhour Selinsgrove Classic9thApr 6, 2019"
373,139-2,RYAN ARMITAGEWyalusing Valley Area,2019,"PIAA District 4 AA-AAA Championship16thMay 16, 2019 - May 18, 2019"
375,139-1,EVAN WRIGHTFaith Christian Academy,2021,"Faith Christian, Jenkintown at Holy Ghost Prep1stApr 8, 2019"
375,139-1,NICK COOMERWarwick,2019,"Lebanon-Lancaster League Championship15thMay 10, 2019 - May 11, 2019"
377,138-11,LONDON JOHNSONMillersburg,2019,"Warrior Classic1stMay 11, 2019"
377,138-11,NICHOLAS REPKOOley Valley,2019,"Oley Valley at Schuylkill Valley2ndApr 23, 2019"
377,138-11,ADDISON SCHWEIZERHOFDock Mennonite Academy,2019,"Dock Mennonite Academy-Church Farm School-Jenkintown2ndApr 30, 2019"
377,138-11,CAMERON MOOREBrookville Area,2022,"PIAA District 9 AAA and AA Championship11thMay 17, 2019"
381,138-10,ARMANDT ROSARIOJohnsonburg Area,2021,"Altoona Mt. Lion Track & Field Classic (Small Schools) AA15thMay 3, 2019"
382,138-9,JONAH JOHNSTONUpper Perkiomen,2020,"Pope John Paul II Dual #12ndMar 27, 2019"
382,138-9,NICK MATTINGLYOctorara,2020,"16th Annual Unionville Invitational4thApr 27, 2019"
382,138-9,TONY POTTEIGERNorthern,2019,"Northern Twilight Invitational4thMay 6, 2019"
385,138-8.5,LUIS AVILESLiberty,2019,"Liberty @ Freedom5thApr 29, 2019"
386,138-7,CARTER BRETTLEPanther Valley,2019,"Schuylkill Haven @ Panther Valley1stApr 24, 2019"
386,138-7,COLTON FERRUCCIShenango,2022,"Pine-Richland Invitational11thMay 3, 2019"
388,138-6,BRAEDAN FARNERRed Land,2020,"Mid Penn Championship16thMay 11, 2019"
389,138-5,ADAM ROCKWELLSusquehanna Community,2019,"PIAA District 2 AA Championship11thMay 15, 2019"
389,138-5,LOGAN GROFFEast Pennsboro Area SD,2019,"Mid Penn Championship17thMay 11, 2019"
391,138-3,ZACK VENTBedford,2022,"Bedford/Richland/Somerset/Con. Twp3rdApr 3, 2019"
391,138-3,JONNY RODGERSCommodore Perry,2021,"2019 Franklin Track & Field Invitational5th PApr 13, 2019"
393,138-2,JOSEPH KARVOISShenandoah Valley,2020,"Schuylkill League Track and Field Championships11thMay 7, 2019 - May 8, 2019"
393,138-2,TZADIK HICKLINLebanon,2019,"Blue Streak Relays12thMay 4, 2019"
395,138-1,LONNIE RICEBishop McDevitt,2020,"PIAA District 12 AA Championships2ndMay 15, 2019 - May 16, 2019"
395,138-1,JACK STRAUBCamp Hill,2021,"Northern Twilight Invitational5thMay 6, 2019"
397,137-10.25,CODY SCHERLEGreensburg YMCA Track and Field Club,2022,"USATF Three Rivers Developmental Meet2ndJun 15, 2019"
398,137-10,NOAH NAELETZPine-Richland,2019,"Pine-Richland Invitational13thMay 3, 2019"
398,137-10,DONNY BLAINENorth Pocono,2019,"PIAA District 2 AAA Championship17thMay 16, 2019"
400,137-9,BEN HOLLANDBangor Area,2019,"EPC/Colonial Conference Championships12thMay 7, 2019 - May 8, 2019"
1,137-8,PATRICK MARSHChartiers Valley,2021,"West Mifflin Freshman/Sophomore Invitational2ndMay 4, 2019"
401,137-8,OWEN SHOEMAKERBerwick,2019,"Northwest Rangers Invitational7thApr 12, 2019"
401,137-8,AUSTIN HAMPTONWarrior Run,2019,"PIAA District 4 AA-AAA Championship18thMay 16, 2019 - May 18, 2019"
404,137-7,BLAISE SOKASH MINNICKWyoming Area,2022,"PIAA District 2 AAA Championship18thMay 16, 2019"
405,137-5,HARRY LALLIERCalifornia Area High School,2020,"Scott Frederick Mid Mon Track Classic1stApr 29, 2019"
405,137-5,SEBASTIAN CORRALESChurch Farm School,2019,"PIAA District 1 AA Championships9thMay 17, 2019 - May 18, 2019"
407,137-4,SEAN PICKETTStroudsburg,2019,"Pleasant Valley @ Stroudsburg2ndApr 29, 2019"
407,137-4,JOSIAH LANDISPennridge,2020,"SOL Continental Conference Championships6thMay 10, 2019 - May 11, 2019"
409,137-3,THOMAS INGGSWesttown School,2019,"Friends League Championships1stMay 11, 2019"
409,137-3,ANTHONY GONELLAEaston Area,2019,"Freedom, Easton vs Bethlehem Catholic2ndApr 16, 2019"
409,137-3,JOSEPH BABINSKINazareth Area,2020,"Liberty vs Nazareth3rdApr 15, 2019"
409,137-3,RILEY FRANCISSouthern Fulton,2020,"ICC Championship Meet5thMay 6, 2019"
409,137-3,SPENCER MILANIKConestoga,2020,"Central League Individual Champs6thMay 8, 2019"
409,137-3,DALTON REEDKnoch,2021,"Northern Area Last Chance7thMay 7, 2019"
409,137-3,KEVIN MEJIAReading,2019,"2019 BCIAA Firing Championship11thMay 9, 2019 - May 11, 2019"
416,137-2,ANDREW OSILKAMarian Catholic,2019,"Marian Catholic @ Shenandoah1stApr 29, 2019"
416,137-2,THOMAS MAGIERASaint Joseph's Prep,2020,"Explorers Invitational3rdApr 12, 2019"
416,137-2,ELVIS MORARAManheim Township,2019,"17th Annual Black Knight Invitational10thApr 13, 2019"
419,137-1,ANDREW STEIGERWALTParkland,2020,"Nazareth vs Parkland3rdApr 11, 2019"
419,137-1,JASON CLARKEverett Area,2019,"ICC Championship Meet6thMay 6, 2019"
419,137-1,EVAN PECHINOxford Area,2022,"Ches-Mont Championship6thMay 8, 2019"
422,137-0,JARRETT BUTZBlue Mountain,2019,"Blue Mountain vs. Jim Thorpe6thApr 29, 2019"
422,137-0,GAVIN WAGNERNorwin,2020,"Lady Spartan/Wildcat Invitational12th PApr 13, 2019"
422,137-0,TY WESENYAKWallenpaupack,2019,"PIAA District 2 AAA Championship19thMay 16, 2019"
425,136-11,JOSIAH MCCOYCheltenham,2020,"SOL American Conference Championships3rdMay 10, 2019 - May 11, 2019"
425,136-11,COLBY WINTERSCentral Dauphin,2019,"Mid Penn Championship20thMay 11, 2019"
427,136-9,MATT LALIKPalmerton Area,2020,"EPC/Colonial Conference Championships13thMay 7, 2019 - May 8, 2019"
428,136-8,MAX ENDRESFort Leboeuf,2021,"McDowell Junior Varsity Meet1stMay 2, 2019"
428,136-8,TANNER WYLANDBellwood Antis,2019,"PIAA District 6 AA Championships18thMay 15, 2019"
430,136-7,HUNTER KARPULKYork County School of Technology,2020,"Ray Geesey Track and Field Invitational2ndApr 26, 2019"
431,136-6,AJ FUTRICKWilson (3),2020,"Leonard Stephan Invitational3rdApr 13, 2019"
431,136-6,AUSTIN LONGBig Spring,2021,"31st Annual Stan Morgan Invitational at Carlisle10thMay 4, 2019"
433,136-5,MITCH MILESLaurel,2021,"West Middlesex Invitational10thApr 6, 2019"
434,136-4,JON BARRETTNorthern,2021,"Northern Small School Invitational5thMar 28, 2019"
434,136-4,CARSON STANFIELDAthens Area,2020,"PIAA District 4 AA-AAA Championship20thMay 16, 2019 - May 18, 2019"
436,136-3,JOE WERTZBellwood Antis,2021,"Bellwood-Antis Invitational7thApr 29, 2019"
437,136-2,RYAN HARTBermudian Springs,2020,"Arctic Blast Invitational5thApr 13, 2019"
437,136-2,NICHOLAS YOUNGSelinsgrove,2021,"Mount Carmel Area Breslin Invitational7thApr 18, 2019"
439,136-1,JACKSON BALDINIMechanicsburg Area High School,2021,"Arctic Blast Invitational6thApr 13, 2019"
440,136-0,NATHAN GUAYState College Area High School,2019,"Harrisburg @ State College1stMay 7, 2019"
440,136-0,LUKE GRYCYWIECZDevon Preparatory School,2019,"PCL Boys Meet #5 - LaSalle2ndApr 29, 2019"
440,136-0,ALEX ZEIGLERWarren Area,2021,"34th McDowell Invitational4th PApr 27, 2019"
440,136-0,TROY AMBUSHSusquehanna Township,2019,"31st New Balance Pan-Ram Invitational11thApr 13, 2019"
440,136-0,COLETON QUAILMeadville Area,2020,"46th Annual Baldwin Invitational16thMay 3, 2019"
445,135-11,ILIR DEDEGreater Johnstown,2019,"Altoona Mt. Lion Track & Field Classic (Large Schools) AAA7thMay 3, 2019"
446,135-10,QUENTIN MAGUIREWest Branch,2019,"West Branch vs St. Joes vs Philipsburg-Osceola1stApr 18, 2019"
447,135-9,LIAM GRINNENRiverside (7),2020,"Beaver County Championships3rdApr 25, 2019 - Apr 28, 2019"
448,135-8,WADE ASHFORDThe Hill School,2019,"MAPL Outdoor Championship5thMay 11, 2019"
449,135-7,TANNER STEWARTCanon-McMillan,2020,"Washington Greene County Championship6thApr 27, 2019"
450,135-5.5,JARED ALCORNLakeview,2019,"Butler Invitational - 55th Annual21stApr 18, 2019"
451,135-4.5,NOLAN DUNNUMCrestwood,2022,"Northwest Rangers Invitational8thApr 12, 2019"
452,135-4,ASHER BURKETTBald Eagle Area,2020,"Bald Eagle vs Penns Valley vs Philipsburg-Osceola1stApr 16, 2019"
452,135-4,CYRUS HAZELTINEEisenhower,2019,"Coudersport Sports Booster Invitational3rdMay 3, 2019"
452,135-4,COLBY GREENBurgettstown,2019,"Washington Greene County Championship7thApr 27, 2019"
452,135-4,ADAM EVANSElizabethtown Area,2020,"17th Annual Black Knight Invitational11thApr 13, 2019"
456,135-3,BRIAN LAFTYPennridge,2019,"Pennridge at CB West (BOYS)1stApr 9, 2019"
456,135-3,KEVIN GENTHERTGarnet Valley,2021,"Garnet Valley, Springfield (D), @ Penncrest boys3rdApr 29, 2019"
456,135-3,BRIAN SPROATApollo-Ridge High School,2019,"Northern Area Last Chance9thMay 7, 2019"
459,135-1,BLAKE SULLENBERGERLigonier Valley,2020,"Heritage Conference Championships5thMay 7, 2019"
460,135-0,JUSTIN SEGALCouncil Rock South,2019,"CR South, Truman @ CR North1stMar 26, 2019"
460,135-0,WILLIAM BRININGERBellefonte Area,2022,"PIAA District 6 AAA Championships7thMay 16, 2019"
460,135-0,SHANE REPASKYGreater Nanticoke,2019,"PIAA District 2 AAA Championship20thMay 16, 2019"
463,134-11,TOM HANIKWindber Area,2019,"Appalachian Invitational5thApr 13, 2019"
464,134-10,ETHAN MACKEYMount Lebanon,2020,"West Mifflin Last Chance Meet9thMay 7, 2019"
465,134-9,WILEY CORLETTGermantown Friends School,2019,"PA Independent School Athletic Association (PAISAA) Championship4thMay 18, 2019"
465,134-9,GIDEON SNYDERBerlin Brothersvalley,2019,"Bedford Giant Eagle Invitational7thApr 6, 2019"
467,134-8,OWEN SHIELDSCentral Bucks West,2019,"Helman Memorial Invitational5thMay 2, 2019"
467,134-8,BRIAN LOEPERPenncrest,2021,"Pennsylvania Track Classic6thMar 30, 2019"
467,134-8,MCKINLEY WHIPKEYMcGuffey,2021,"Washington Greene County Championship8thApr 27, 2019"
470,134-7,ANDREW HODNICKFreedom Area (7),2021,"15th Annual South Hills Classic8thApr 6, 2019"
471,134-6,REGAN THOMASONElizabethtown Area,2019,"Lebanon-Lancaster League Championship18thMay 10, 2019 - May 11, 2019"
472,134-5,JERAMY CARDGeorge Junior Republic HS,2019,"2019 Franklin Track & Field Invitational7th PApr 13, 2019"
473,134-4,ANTHONY CAMPOLIShenango,2019,"15th Annual South Hills Classic10thApr 6, 2019"
473,134-4,COLBY DAVISLaurel Highlands,2019,"West Mifflin Last Chance Meet10thMay 7, 2019"
475,134-2,JOSH MOONEYPalmerton Area,2020,"Northern Lehigh, Salisbury, Palmerton4thApr 23, 2019"
476,134-1,STEPHEN CRIKELAIRStroudsburg,2019,"Pocono Mountain East vs Stroudsburg5thApr 9, 2019"
476,134-1,NICK ACHEYCedar Crest,2021,"Lebanon County Championships8thApr 27, 2019"
478,134-0,LUKE ALCORNNorth Penn,2021,"Trojan Track Classic4thMay 2, 2019"
478,134-0,HAIDEN MILHIMESNew Oxford,2019,"Jim Taylor High School Classic (formerly Susq.HS Classic)11thApr 13, 2019"
478,134-0,COLLIN KNEISSRiverside (2),2020,"PIAA District 2 AA Championship12thMay 15, 2019"
481,133-11,TAHAHAWI TAHAHAWILouis E. Dieruff,2019,"ES South @ Dieruff1stApr 23, 2019"
482,133-10,MASYN MILLERSusquenita,2020,"Susquenita vs East Juniata, HBG Christian3rdApr 9, 2019"
482,133-10,RYAN HILERNew Castle,2019,"MAC Meet7thApr 24, 2019"
482,133-10,BAILEY CRAGERDonegal,2019,"31st New Balance Pan-Ram Invitational14thApr 13, 2019"
485,133-9,TYLER FERENCENotre Dame Green Pond,2019,"NDGP @ Palmerton3rdApr 4, 2019"
486,133-8,ZACHARY MILLERMeyersdale Area,2019,"Appalachian Invitational6thApr 13, 2019"
486,133-8,ALEX CRANELower Merion,2019,"Pennsylvania Track Classic8thMar 30, 2019"
486,133-8,LIAM REINARDNorthwest Area,2022,"James Cross Wilkes-Barre Invite8thMay 4, 2019"
486,133-8,JACOB KEYESShippensburg,2019,"Tim Cook Memorial Invitational12thMar 30, 2019"
490,133-7,CONNER SCHMIDTKennett,2019,"Ches-Mont American Novice Meet1stMar 27, 2019"
490,133-7,KEVIN ZUCCOLOTTONorth East,2020,"34th McDowell Invitational6thApr 27, 2019"
492,133-5,DREW FORRWilliam Tennent,2020,"S.O.L. National Conference Championships3rdMay 10, 2019 - May 11, 2019"
493,133-4,CADE RHINEHARTEaston Area,2019,"Freedom, Easton vs Bethlehem Catholic3rdApr 16, 2019"
493,133-4,TRISTAN KENSINGERPocono Mountain East,2019,"ES North @ PM East3rdApr 23, 2019"
493,133-4,TIMOTHY LASUREBerlin Brothersvalley,2021,"Northern Bedford Invitational3rdApr 26, 2019"
493,133-4,RUSSELL ZULLICKBiglerville,2019,"YAIAA Track and Field League Championships9thMay 10, 2019"
493,133-4,MAX VALENTINEPalmyra,2019,"Mid Penn Championship21stMay 11, 2019"
