RANK,TIME,WIND,ATHLETE/TEAM,GRADE,MEET DATEPLACE
232,23.02,3.4,MOSES ALLIEQuakertown,2020,"Pennsylvania Track Classic6thMar 30, 2019"
232,23.02,,TARIQ GREENEBartram High School,2019,"Philadelphia Public League Championships8thMay 8, 2019 - May 9, 2019"
238,23.03,,LORENZO DELACRUZAmbler Olympic Club,,"AAU Region-02 National Qualifier4th PJun 28, 2019 - Jun 30, 2019"
238,23.03,,ALEX SOLANODallas,2019,"PIAA District 2 AAA Championship6th PMay 16, 2019"
238,23.03,,BOBBY BRASHEARPennridge,2020,"Helman Memorial Invitational6thMay 2, 2019"
238,23.03,,MARCO OLMEDONorristown,2021,"Pioneer Athletic Conference Championship6th PMay 10, 2019 - May 11, 2019"
238,23.03,,ADRIAN RODRIGUEZSouthern Lehigh,2020,"PIAA District XI AAA Championship9th PMay 15, 2019 - May 16, 2019"
238,23.03,,KALEB MONACOPocono Mountain West,2020,"PIAA District XI AAA Championship10th PMay 15, 2019 - May 16, 2019"
238,23.03,,HUNTER JONESKarns City,2019,"Butler Invitational - 55th Annual12thApr 18, 2019"
238,23.03,,JORDAN PHIRIThomas Jefferson,2019,"46th Annual Baldwin Invitational15th PMay 3, 2019"
238,23.03,,JORDAN MONGANConshohocken Electric Force TC,,"AAU Mid-Atlantic District Qualifier19thJun 14, 2019 - Jun 16, 2019"
247,23.04,,SIDNEY TURNERUpper Darby,2020,"Upper Darby v Lower Merion v Garnet Valley2ndApr 23, 2019"
247,23.04,,NIKO CRUZCalvary Christian Academy,2022,"Bicentennial Athletic League Championships2nd PMay 8, 2019 - May 9, 2019"
247,23.04,,JACOBE SANDCROFTPlymouth Whitemarsh,2019,"SOL American Conference Championships9th PMay 10, 2019 - May 11, 2019"
247,23.04,,DANEAL WILLIAMSCardinal O'Hara,2019,"Philadelphia Catholic League Outdoor Championships10thMay 11, 2019"
251,23.05,,DYLAN VLASSENKOConwell-Egan,2020,"Bensalem Invitational4th PApr 13, 2019"
251,23.05,,JACOB KOSSElk County Catholic,2020,"PIAA District 9 AAA and AA Championship4thMay 17, 2019"
251,23.05,,CALEB BUNCHAmbler Olympic Club,,"AAU Region-02 National Qualifier5th PJun 28, 2019 - Jun 30, 2019"
254,23.06,,JAMES CROMARTIEChurch Farm School,2019,"Bicentennial Athletic League Championships3rd PMay 8, 2019 - May 9, 2019"
254,23.06,,AARON NEWELLWest Chester Henderson,2021,"Rustin Invitational7thApr 17, 2019"
256,23.07,,ISAIAH HILLNorth Penn,2019,"SOL Continental Conference Championships5thMay 10, 2019 - May 11, 2019"
256,23.07,,LAVRANTS KONGSSUNDKutztown Area,2019,"2019 BCIAA Firing Championship5thMay 9, 2019 - May 11, 2019"
256,23.07,,SETH MOYERMarple Newtown,2019,"Boys Delco Championship18th PMay 2, 2019 - May 4, 2019"
259,23.08,,QUENTIN GASKILLWaynesboro,2019,"4th Annual Park View Twilight Classic2ndMay 3, 2019"
259,23.08,,ZHYAIR TATEMechanicsburg Area High School,2020,"Mid Penn Championship9thMay 11, 2019"
259,23.08,,ZAHEER SEABROOKSEast Stroudsburg Area North,2019,"PIAA District XI AAA Championship11th PMay 15, 2019 - May 16, 2019"
259,23.08,,GUINNESS BROWNButler,2022,"Butler Invitational - 55th Annual15thApr 18, 2019"
263,23.09,,MAX DELL'ANNOCumberland Valley,2020,"18th Bruce Dallas Invitational6thApr 6, 2019"
263,23.09,,SETH DEGREEWest Catholic,2019,"PIAA District 12 AA Championships7th PMay 15, 2019 - May 16, 2019"
263,23.09,,COLE RAGERAlbert Gallatin,2021,"46th Annual Baldwin Invitational16th PMay 3, 2019"
266,23.1,1.4,SALEEM THOMASHarry S Truman,2020,"Mid-Atlantic International Youth Qualifier2ndJun 22, 2019"
266,23.1,,KIALA NSIKIDINorth Penn,2021,"Trojan Track Classic4thMay 2, 2019"
266,23.1,,SEBASTIAN SURIELParkland,2019,"EPC/Colonial Conference Championships7th PMay 7, 2019 - May 8, 2019"
266,23.1,,DONALD COLEGeorge Washington HS,2019,"PIAA District 12 AAA Championships9th PMay 15, 2019 - May 16, 2019"
270,23.11,,BRENDAN MILLERSouthern Lehigh,2019,"EPC/Colonial Conference Championships2ndMay 7, 2019 - May 8, 2019"
270,23.11,,OWEN KEISTERMilton Area,2020,"PIAA District 4 AA-AAA Championship3rdMay 16, 2019 - May 18, 2019"
272,23.12,,TRISTA ALTENBACHWilson Area (11),2019,"EPC/Colonial Conference Championships3rdMay 7, 2019 - May 8, 2019"
272,23.12,,JACK SCHECHTERLYCentral Columbia,2019,"PIAA District 4 AA-AAA Championship4thMay 16, 2019 - May 18, 2019"
272,23.12,,ROBERT WILSONWissahickon,2020,"PW Colonial Classic5thApr 6, 2019"
272,23.12,,ASHTON BARNESBensalem,2022,"Neshaminy Invitational5thMay 4, 2019"
272,23.12,,JAIERE ALFORDYork County School of Technology,2020,"YAIAA Track and Field League Championships7th PMay 10, 2019"
272,23.12,,NICHOLAS-BLAINE MESSAMLower Merion,2019,"Central League Individual Champs7thMay 8, 2019"
272,23.12,,WALTER LORICK-MARKSBartram High School,2019,"Philadelphia Public League Championships11th PMay 8, 2019 - May 9, 2019"
272,23.12,,JOSH BLESSINGLower Dauphin,2019,"Mid Penn Championship11thMay 11, 2019"
280,23.13,,COLBY LIEBALMartinsburg Central High School,2020,"Mountain League Championships1stMay 7, 2019"
280,23.13,,WILLIAM WELLS-HARRISObama Academy,2021,"P3R South Fayette Invitational4thApr 27, 2019"
282,23.14,,MATTHEW HILARZEWSKICarlynton,2019,"Northern Area Last Chance3rdMay 7, 2019"
283,23.15,,NOAH SANDERSGettysburg Area High School,2021,"Arctic Blast Invitational2ndApr 13, 2019"
283,23.15,,NOAH CLICKETTAvonworth,2019,"PIAA District 7 (WPIAL) AA Championships8th PMay 16, 2019"
285,23.16,0.2,LUKE WAGNERNadia TC,,"Three Rivers Association Championships4thJun 22, 2019 - Jun 23, 2019"
285,23.16,,ISAAC GALEPhoenixville Area,2019,"Pioneer Athletic Conference Championship7th PMay 10, 2019 - May 11, 2019"
285,23.16,,CALEB BUNCHPennsbury,2021,"14th Annual Hoka One One Henderson Invitational19thMay 3, 2019"
285,23.16,,ANTWON DAVISJust Do It Track Club,,"AAU Mid-Atlantic District Qualifier21stJun 14, 2019 - Jun 16, 2019"
289,23.17,,NATE KIRKMount Lebanon,2021,"P3R South Fayette Invitational5thApr 27, 2019"
290,23.18,,MARSHALL BUGGYShamokin Area,2019,"Shamokin vs Lewisburg1stMay 1, 2019"
290,23.18,,MITCHELL HELFRed Lion,2019,"12th Cy Fritz Open presented by Penn Medicine LGH Sports Med4thApr 26, 2019"
290,23.18,,KYLE MARETTWest Allegheny,2020,"Northern Area Last Chance4thMay 7, 2019"
290,23.18,,BENJAMIN GAMBRELL IVAthens Area,2021,"PIAA District 4 AA-AAA Championship5thMay 16, 2019 - May 18, 2019"
290,23.18,,JAYDEN STYLESNeumann Goretti,2022,"PIAA District 12 AA Championships6thMay 15, 2019 - May 16, 2019"
290,23.18,,KENAN KORKUTOVICChambersburg,2021,"Mid Penn Championship12thMay 11, 2019"
290,23.18,,JASON TURNERPennsbury,2020,"14th Annual Hoka One One Henderson Invitational20thMay 3, 2019"
290,23.18,,TAZAIEL WHITFIELDPenn Manor,2019,"14th Annual Hoka One One Henderson Invitational20thMay 3, 2019"
290,23.18,,MALIK LANGLEYChester,2020,"Boys Delco Championship20th PMay 2, 2019 - May 4, 2019"
299,23.19,,TYLER RHODESTussey Mountain,2020,"Northern Bedford Invitational1stApr 26, 2019"
299,23.19,,TERRANCE ROGERSHarry S Truman,2020,"PW Colonial Classic6thApr 6, 2019"
299,23.19,,DONOVAN MOSESChambersburg,2020,"31st Annual Stan Morgan Invitational at Carlisle7thMay 4, 2019"
299,23.19,,JOSHUA BUNCHNeumann Goretti,2022,"Philadelphia Catholic League Outdoor Championships11thMay 11, 2019"
299,23.19,,JAHEEM KNIGHTNortheast HS,2020,"Philadelphia Public League Championships12th PMay 8, 2019 - May 9, 2019"
304,23.2,,PEYTON PERSINGDanville Area,2019,"Lasagna Invitational1stApr 26, 2019"
304,23.2,,MARVIN MOORERoman Catholic,2019,"Philadelphia Catholic League Outdoor Championships12thMay 11, 2019"
306,23.21,,JACKSON COYNERiverside (7),2019,"Beaver County Championships2ndApr 25, 2019 - Apr 28, 2019"
306,23.21,,TANNER HESSHempfield (3),2021,"Keystone Cup @ Gov. Mifflin2ndApr 18, 2019"
306,23.21,,DASANI GREENWest Mifflin,2020,"Big South Championship2ndApr 24, 2019"
306,23.21,,SHAWN WOLFEBellwood Antis,2019,"PIAA District 6 AA Championships3rdMay 15, 2019"
306,23.21,,DORIAN SINGLETONSouthern Lehigh,2020,"EPC/Colonial Conference Championships5th PMay 7, 2019 - May 8, 2019"
306,23.21,,AMERE DICKINSONJ.P. McCaskey,2020,"Lebanon-Lancaster League Championship6thMay 10, 2019 - May 11, 2019"
306,23.21,,MATT MARSHALLPenn Charter,2021,"PA Independent School Athletic Association (PAISAA) Championship6thMay 18, 2019"
306,23.21,2,CHRISTIAN CHAKIRISMid Valley Sr. High School,2020,"PIAA T&F State Championships6th PMay 24, 2019 - May 25, 2019"
306,23.21,,SAMUEL SYKESCheltenham,2021,"SOL American Conference Championships10th PMay 10, 2019 - May 11, 2019"
315,23.22,,JAKOB SNIPESLakeland,2019,"PIAA District 2 AA Championship1stMay 15, 2019"
315,23.22,,HUNTER COULTERBloomsburg,2019,"Lasagna Invitational2ndApr 26, 2019"
315,23.22,,TAAHIR BLOODWORTHGirard College HS,2019,"Penn Jersey League Meet 22ndMay 2, 2019"
315,23.22,,GAVIN THOMASSeneca Valley,2020,"Rock Relays4thApr 20, 2019"
315,23.22,,JASON LAVOEChurch Farm School,2021,"Bicentennial Athletic League Championships7th PMay 8, 2019 - May 9, 2019"
320,23.23,,CHRIS CHANGeorge School,2019,"Ed Poreda Invitational4thApr 13, 2019"
321,23.24,,TAIYAN LOBBANUpper Merion,2020,"Upper Merion vs Pottsgrove HS1stApr 17, 2019"
321,23.24,,JORDAN CLARKEHaverford Township HS,2019,"Haverford vs Conestoga vs Penncrest3rdApr 22, 2019"
321,23.24,,WILL HOLLENBECKMcDowell,2020,"PIAA District 10 Class AAA Championships3rdMay 18, 2019"
324,23.25,,COLE COOPERChurch Farm School,2020,"Dock Mennonite Academy-Church Farm School-Jenkintown1stApr 30, 2019"
324,23.25,,AARON TUTINOLigonier Valley,2019,"Heritage Conference Championships3rdMay 7, 2019"
324,23.25,,VINZENZO SCOTTOWyoming Area,2020,"PIAA District 2 AAA Championship7th PMay 16, 2019"
324,23.25,,JOSEPH HENRYSouth Fayette High School,2021,"TSTCA Outdoor Championship9thApr 13, 2019"
324,23.25,,DAELYN NWAOBASIGermantown Academy,2021,"Inter-Ac League Championships9thMay 9, 2019 - May 11, 2019"
329,23.26,,RICHARD MARTINPenn Hills,2019,"Penn Hills @ Altoona2ndApr 23, 2019"
329,23.26,,ZACK STANTONMercer Area,2019,"PIAA District 10 Class AA Championships4thMay 18, 2019"
329,23.26,,JAIDEN YOUNGMilton Hershey,2019,"PW Colonial Classic7thApr 6, 2019"
329,23.26,,JUWHAN WAINWRIGHTScranton,2019,"PIAA District 2 AAA Championship8th PMay 16, 2019"
333,23.27,,GAVIN D'AMATOTunkhannock,2020,"PIAA District 2 AAA Championship9th PMay 16, 2019"
334,23.28,,JACK SHORTTwin Valley,2019,"Twin Valley vs Reading HS1stApr 23, 2019"
334,23.28,,NAVON LOCUSTAmbridge Area,2019,"Beaver County Championships3rdApr 25, 2019 - Apr 28, 2019"
334,23.28,,JOSIAH TARVERFarrell,2020,"PIAA District 10 Class AA Championships5thMay 18, 2019"
334,23.28,,PATRICK GABORPenn Charter,2019,"Inter-Ac League Championships10thMay 9, 2019 - May 11, 2019"
334,23.28,,TYLER BOONEJust Do It Track Club,,"AAU Mid-Atlantic District Qualifier23rdJun 14, 2019 - Jun 16, 2019"
339,23.29,,OLIVIER BRYANTHarry S Truman,2020,"CR South, Truman @ CR North1stMar 26, 2019"
339,23.29,,C.J BROWNCoatesville,2019,"Shanahan, WCE, Coatesville Tri Meet2ndApr 10, 2019"
339,23.29,,CHRISTOPHER SHAWAbington,2019,"11th Annual Jack Armstrong Invitational Track and Field Meet7th PApr 17, 2019"
339,23.29,,LAYTON BUTTSCentral Dauphin East (CD East),2019,"Mid Penn Championship14thMay 11, 2019"
343,23.3,,MICHAEL DAUREKeystone Oaks,2019,"Mount Lebanon Invitational1stMar 30, 2019"
343,23.3,,ALEX MCGEARYMuhlenberg,2022,"Leonard Stephan Invitational1st PApr 13, 2019"
343,23.3,,ZACH CARROLLGreater Latrobe,2020,"Northern Area Last Chance5thMay 7, 2019"
343,23.3,,ALEX HAASPittston Area,2019,"18th Bruce Dallas Invitational8thApr 6, 2019"
343,23.3,,ADAM HOUSERShippensburg,2019,"Mid Penn Championship15thMay 11, 2019"
348,23.31,,MAKHI MAYOUpper Darby,2021,"Haverford Invitational5thMar 30, 2019"
348,23.31,,MICAH GLUSFairview,2020,"PIAA District 10 Class AA Championships5th PMay 18, 2019"
348,23.31,1.6,ALEX HYNOSKIState College Area High School,2021,"PIAA T&F State Championships7th PMay 24, 2019 - May 25, 2019"
348,23.31,,BRICE ANDERSONBeaver Falls,2019,"PIAA District 7 (WPIAL) AA Championships9th PMay 16, 2019"
348,23.31,,AARON JENKINSWest Catholic,2019,"Philadelphia Catholic League Outdoor Championships14thMay 11, 2019"
348,23.31,,CAMERON BROWNObama Academy,2020,"46th Annual Baldwin Invitational18th PMay 3, 2019"
354,23.32,,MARCELLUS POLANDPenn Charter,2020,"Penn Charter vs Baldwin, Agnes Irwin, Haverford School2ndApr 17, 2019"
354,23.32,,BRANDON FOUSTHarriton,2021,"Central League Individual Champs9thMay 8, 2019"
354,23.32,,NIC COOKSeneca Valley,2020,"Pine-Richland Invitational11th PMay 3, 2019"
354,23.32,,WILLIAM SHOEMAKERWest York Area,2021,"Lower Merion Invitational13thMay 4, 2019"
354,23.32,,MARCO OLMEDO JRGreater Norristown T and F,2023,"AAU Mid-Atlantic District Qualifier25thJun 14, 2019 - Jun 16, 2019"
359,23.33,,NOAH M THOMASFriends' Central,2022,"Great Valley R. Joseph Kellerman Invitational8thApr 20, 2019"
359,23.33,,NICKOLAS WHITEWilliam Allen,2020,"EPC/Colonial Conference Championships11th PMay 7, 2019 - May 8, 2019"
359,23.33,,SEAN BEALHatboro Horsham,2020,"SOL American Conference Championships12th PMay 10, 2019 - May 11, 2019"
362,23.34,,LUKE BLACKWELLCentral Bucks East,2021,"SOL Continental Conference Championships7th PMay 10, 2019 - May 11, 2019"
362,23.34,,DANIEL SHEFFIELDCumberland Valley,2019,"31st New Balance Pan-Ram Invitational9thApr 13, 2019"
362,23.34,,SHAQUILLE WILLIAMSImhotep Institute Charter HS,2019,"Philadelphia Public League Championships14th PMay 8, 2019 - May 9, 2019"
365,23.35,,ANGEL FELICIANOBethel Park,2021,"P3R South Fayette Invitational6thApr 27, 2019"
365,23.35,,BRYAN LACEYCoatesville,2022,"Ches-Mont Championship13thMay 8, 2019"
367,23.36,,GAVIN COLESCOTTShikellamy,2021,"Selinsgrove at Shikellamy2ndMay 7, 2019"
367,23.36,,RJ BENNEDICTGeneral McLane,2021,"PIAA District 10 Class AAA Championships4thMay 18, 2019"
367,23.36,,RENE DUFFAULTMuhlenberg,2020,"2019 BCIAA Firing Championship6thMay 9, 2019 - May 11, 2019"
367,23.36,,DREW GROWPlumstead Christian,2019,"Helman Memorial Invitational7thMay 2, 2019"
367,23.36,,DAMON SIMPSONWilson Area (11),2022,"EPC/Colonial Conference Championships7thMay 7, 2019 - May 8, 2019"
367,23.36,,PETER TAYLORLaSalle College High School,2019,"Philadelphia Catholic League Outdoor Championships15thMay 11, 2019"
367,23.36,,JOSHUA BUNCHMo Bettah Track Club,,"AAU Mid-Atlantic District Qualifier26thJun 14, 2019 - Jun 16, 2019"
374,23.37,,COLIN ALTHOFFSolanco,2020,"Leonard Stephan Invitational1stApr 13, 2019"
374,23.37,,KYLE CICHANOWSKYWest Chester East,2020,"West Chester East vs. Avon Grove2ndApr 29, 2019"
374,23.37,,BRENNAN GILHOOLMontrose,2019,"The Robert Spagna Championship4thMay 7, 2019"
374,23.37,,AJ GRAYMercersburg Academy,2020,"MAPL Outdoor Championship6thMay 11, 2019"
374,23.37,,JONATHAN BOYDExeter Township,2020,"2019 BCIAA Firing Championship7thMay 9, 2019 - May 11, 2019"
374,23.37,,ELIJAH HILDRETHGreater Norristown T and F,2021,"AAU Region-02 National Qualifier7th PJun 28, 2019 - Jun 30, 2019"
374,23.37,,SAMEUL MCFARLANEAbington,2021,"SOL American Conference Championships13th PMay 10, 2019 - May 11, 2019"
374,23.37,,RICHARD SYKESMiddletown Area,2019,"Mid Penn Championship16thMay 11, 2019"
374,23.37,,OLADIPO BAMGBOSEAmbler Olympic Club,,"AAU Mid-Atlantic District Qualifier27thJun 14, 2019 - Jun 16, 2019"
383,23.38,,ZACH STOPPERLoyalsock Township,2019,"21st Annual Bald Eagle Invite1stApr 22, 2019"
383,23.38,,TREVOR MELTONSouderton Area,2021,"CB East, Souderton at CB West3rdApr 16, 2019"
383,23.38,,ETHAN MILLERPalisades,2019,"PIAA District XI AA Championship4thMay 15, 2019 - May 16, 2019"
383,23.38,,JASON KRANERShenango,2019,"MAC Meet5thApr 24, 2019"
383,23.38,,SAM KNOWLESEphrata,2020,"17th Annual Black Knight Invitational12thApr 13, 2019"
383,23.38,,ESE DUKEParkland,2019,"EPC/Colonial Conference Championships12th PMay 7, 2019 - May 8, 2019"
383,23.38,,DONALD COLEMt. Airy Track Club,,"AAU Mid-Atlantic District Qualifier28thJun 14, 2019 - Jun 16, 2019"
390,23.39,,CAMERON TENNISWellsboro Area,2019,"North Penn - Mansfield and Williamson at Wellsboro1stMay 7, 2019"
390,23.39,,BEN SEIDELBishop McCort,2019,"PIAA District 6 AA Championships4thMay 15, 2019"
390,23.39,,AYDEN MATHIASBoyertown,2019,"12th Annual Viking Invitational14th PApr 13, 2019"
390,23.39,,KURT BUTLERWest Chester East,2019,"Ches-Mont Championship14thMay 8, 2019"
390,23.39,,JADIN LUGOLehigh Valley Elite TC,,"AAU Mid-Atlantic District Qualifier30thJun 14, 2019 - Jun 16, 2019"
395,23.4,,CALEB NELSONChartiers Valley,2020,"15th Annual South Hills Classic4thApr 6, 2019"
395,23.4,,GLENN NUNEZLouis E. Dieruff,2019,"PIAA District XI AAA Championship14th PMay 15, 2019 - May 16, 2019"
397,23.41,,NOAH GUANZONCathedral Prep,2020,"2019 Franklin Track & Field Invitational3rdApr 13, 2019"
397,23.41,,ISAIAH JACKSONGeorge Washington HS,2019,"Trojan Track Classic7thMay 2, 2019"
397,23.41,,JULIUS EWUNKENNotre Dame Green Pond,2020,"EPC/Colonial Conference Championships9th PMay 7, 2019 - May 8, 2019"
397,23.41,,AHMAD ADEDOKUNAmbler Olympic Club,,"AAU Region-02 National Qualifier9th PJun 28, 2019 - Jun 30, 2019"
397,23.41,,CHARLES RICHARDSONFranklin High School,2019,"Philadelphia Public League Championships15th PMay 8, 2019 - May 9, 2019"
397,23.41,,QUADIR RAYFIELDRoman Catholic,2021,"Philadelphia Catholic League Outdoor Championships16thMay 11, 2019"
397,23.41,,LUCKIE TANPenn Wood,2022,"Boys Delco Championship21st PMay 2, 2019 - May 4, 2019"
404,23.42,,JEFFREY BILLIGAvon Grove,2019,"Coatesville vs. Henderson and Avon Grove2ndMar 27, 2019"
404,23.42,,BRADEN HEYERNorth Schuylkill,2019,"PIAA District XI AA Championship4th PMay 15, 2019 - May 16, 2019"
404,23.42,,GARRETT TAITPenncrest,2021,"PW Colonial Classic8thApr 6, 2019"
404,23.42,,BLAKE MURRAYFreire Charter School,2020,"PIAA District 12 AA Championships8thMay 15, 2019 - May 16, 2019"
404,23.42,,SUFYAN DAVIS-ARRINGTONNorth Penn,2020,"SOL Continental Conference Championships9th PMay 10, 2019 - May 11, 2019"
404,23.42,,ALAN ZLOTINCentral Bucks West,2020,"SOL Continental Conference Championships10th PMay 10, 2019 - May 11, 2019"
410,23.43,,JOSEPH KOVACHICKRichland,2019,"PIAA District 6 AA Championships3rd PMay 15, 2019"
410,23.43,2.7,THEOREN MCELHENYLancaster City Track Club,2018,"2019 Mid-Atlantic USATF JO T&F Championships4th PJun 8, 2019 - Jun 9, 2019"
410,23.43,,CHINUA SOLOMONAliquippa,2020,"15th Annual South Hills Classic5thApr 6, 2019"
410,23.43,,JALEN SAMPSONChurch Farm School,2021,"Bicentennial Athletic League Championships6th SMay 8, 2019 - May 9, 2019"
410,23.43,,ANDREW SUDARCentral Valley HS,2022,"P3R South Fayette Invitational7thApr 27, 2019"
410,23.43,,HOLDEN FORDUpper Saint Clair,2019,"P3R South Fayette Invitational7thApr 27, 2019"
410,23.43,,ANTHONY MEMOValley View,2022,"PIAA District 2 AAA Championship10th PMay 16, 2019"
410,23.43,,DEVON BINZRiverview,2019,"PIAA District 7 (WPIAL) AA Championships12th PMay 16, 2019"
410,23.43,,TYSHEEM JOHNSONNeumann Goretti,2021,"31st Father Judge Relays17th PApr 17, 2019"
410,23.43,,JALEN HANTONLaSalle College High School,2021,"Philadelphia Catholic League Outdoor Championships17thMay 11, 2019"
420,23.44,,DELONTE WILSONShippensburg,2020,"Antrim Way Honda Rt. 16 Last Chance Invite1stMay 6, 2019"
420,23.44,,RYAN HASTINGSKiski Area,2019,"Northern Area Last Chance6thMay 7, 2019"
420,23.44,2,NICHOLAS MARINAKMountain Top Track & Field Club,2020,"Three Rivers Association Championships6thJun 22, 2019 - Jun 23, 2019"
420,23.44,,AKAASH SURESHCentral Bucks South,2020,"Helman Memorial Invitational8thMay 2, 2019"
420,23.44,,RAMDDY MELENDEZHazleton Area,2019,"PIAA District 2 AAA Championship11th PMay 16, 2019"
420,23.44,,NICHOLAS SINGLETONGovernor Mifflin,2022,"17th Annual Black Knight Invitational13thApr 13, 2019"
420,23.44,,NICHOLAS WHITEMt. Airy Track Club,,"AAU Mid-Atlantic District Qualifier33rdJun 14, 2019 - Jun 16, 2019"
427,23.45,,DANIEL TABORMethacton,2019,"Spring Ford vs Methacton1stApr 2, 2019"
427,23.45,,KADIN MOORESouthern Huntingdon,2021,"PIAA District 6 AA Championships4th PMay 15, 2019"
427,23.45,,SEAN JONESThe Athletes Academy,,"AAU Region-02 National Qualifier10th PJun 28, 2019 - Jun 30, 2019"
427,23.45,,LUCAS WYCICHPlum,2021,"Pine-Richland Invitational13th PMay 3, 2019"
427,23.45,,TROY CORBITTBodine,2022,"Philadelphia Public League Championships16th PMay 8, 2019 - May 9, 2019"
427,23.45,,ALEX SHARROWShippensburg,2020,"Mid Penn Championship17thMay 11, 2019"
433,23.46,,TONY GRAHAMRidley,2019,"Strath Haven vs Upper Darby vs Ridley4thApr 29, 2019"
433,23.46,,STEFANO ASTUDILLOEphrata,2020,"Lebanon-Lancaster League Championship7th PMay 10, 2019 - May 11, 2019"
433,23.46,,RODO BROWNScranton,2019,"PIAA District 2 AAA Championship12th PMay 16, 2019"
433,23.46,,AIRON STEVENSONThe Promise Academy @ West Philadelphia,2020,"Lower Merion Invitational15thMay 4, 2019"
437,23.47,,BILLY DELBAUGHShamokin Area,2021,"PHAC South 9-101stMay 4, 2019"
437,23.47,,JAMES KOCONISLewisburg Area,2021,"Shamokin vs Lewisburg2ndMay 1, 2019"
437,23.47,,NICK CORRERACentral Bucks East,2020,"SOL Continental Conference Championships11th PMay 10, 2019 - May 11, 2019"
437,23.47,,DYLAN BROOKSPocono Mountain East,2020,"PIAA District XI AAA Championship15th PMay 15, 2019 - May 16, 2019"
441,23.48,,DARNEL HOWELLMonessen,2019,"Scott Frederick Mid Mon Track Classic2ndApr 29, 2019"
441,23.48,,AMARRE MAYOCouncil Rock North,2021,"Council Rock Kiwanis Invitational9th PApr 6, 2019"
441,23.48,,DESHAWN JACKSON-RALSTONPenn Hills,2020,"P3R South Fayette Invitational9thApr 27, 2019"
441,23.48,,EDWARD SAYDEEPenn Charter,2019,"Inter-Ac League Championships9th PMay 9, 2019 - May 11, 2019"
441,23.48,,CJ WEHHaverford Township HS,2019,"Central League Individual Champs13thMay 8, 2019"
446,23.49,,TAI LEHMANMillersburg,2021,"Susquenita vs Millersburg / Camp Hill1stApr 23, 2019"
446,23.49,,JULIAN WILLIAMSDowningtown West,2021,"Downingtown East vs. Avon Grove vs. Downingtown West3rdApr 10, 2019"
446,23.49,,DAPREE BRYANTCoatesville,2020,"Shanahan, WCE, Coatesville Tri Meet3rdApr 10, 2019"
446,23.49,,DYLAN DEVLINCentral Columbia,2021,"PIAA District 4 AA-AAA Championship6thMay 16, 2019 - May 18, 2019"
446,23.49,,ALEX GORDONSewickley Academy,2019,"Northern Area Last Chance8thMay 7, 2019"
446,23.49,,TYREE BROOKSSpring Grove,2022,"17th Annual Black Knight Invitational14thApr 13, 2019"
446,23.49,,DARREN BENNETTCheltenham,2021,"SOL American Conference Championships14th PMay 10, 2019 - May 11, 2019"
453,23.5,,BODEE STONEBRAKERConnellsville,2019,"Fayette County Coaches Association Championships1stApr 27, 2019"
453,23.5,,DORKHAN CHANGConestoga,2019,"Haverford vs Conestoga vs Penncrest5thApr 22, 2019"
453,23.5,,MAURICE GENTRYOwen J. Roberts,2019,"Pioneer Athletic Conference Championship9th PMay 10, 2019 - May 11, 2019"
453,23.5,,RYAN HANNIGANCentral Bucks West,2019,"SOL Continental Conference Championships12th PMay 10, 2019 - May 11, 2019"
453,23.5,,RASHEED THOMASInfinity Track Club,,"AAU Region-02 National Qualifier13th PJun 28, 2019 - Jun 30, 2019"
458,23.51,,ADEDOTUN BELLONew Foundations Charter School,2019,"Penn Jersey League Meet 23rdMay 2, 2019"
458,23.51,,SETH PHILLISBurgettstown,2020,"Washington Greene County Championship3rdApr 27, 2019"
458,23.51,,MILES PINNOCKGeorge School,2019,"PA Independent School Athletic Association (PAISAA) Championship10thMay 18, 2019"
458,23.51,,SEAN JONESEpiscopal Academy,2022,"PA Independent School Athletic Association (PAISAA) Championship11thMay 18, 2019"
458,23.51,,FRED FULMORECentral,2021,"Great Valley R. Joseph Kellerman Invitational11thApr 20, 2019"
458,23.51,,AIDAN RAYWest Chester Henderson,2020,"Ches-Mont Championship15thMay 8, 2019"
458,23.51,,MAURICE SAMPSON-SCHULTERFox Chapel Area,2022,"Pine-Richland Invitational16th PMay 3, 2019"
458,23.51,,JAHZEEL WATSONPottstown,2021,"Lower Merion Invitational16thMay 4, 2019"
458,23.51,,COLIN BYRNEEmmaus,2021,"PIAA District XI AAA Championship16th PMay 15, 2019 - May 16, 2019"
458,23.51,,JOSE LOPEZMiddletown Area,2020,"Mid Penn Championship18thMay 11, 2019"
468,23.52,,JULIAN FLEMINGSouthern Columbia Area,2020,"4th Annual Don Wilhour Selinsgrove Classic4thApr 6, 2019"
468,23.52,,JOHN WITTMANElk County Catholic,2020,"21st Demans Team Sports Brookville Invitational7thApr 13, 2019"
468,23.52,,GIANNI SARGENTAcademy Park,2021,"Upper Moreland Track Invitational8thApr 12, 2019"
468,23.52,,JAWAIN GETHERSPaul Robeson School for Human Services,2019,"PIAA District 12 AA Championships12th PMay 15, 2019 - May 16, 2019"
468,23.52,,ETHAN DEATERNorthampton Area,2019,"EPC/Colonial Conference Championships13th PMay 7, 2019 - May 8, 2019"
468,23.52,,DAVID NIEBAUERGreencastle-Antrim,2022,"Mid Penn Championship19thMay 11, 2019"
474,23.53,,DANE ANDENBelle Vernon,2021,"Scott Frederick Mid Mon Track Classic3rdApr 29, 2019"
